Clase, Coordenada_X, Coordenada_Y, Profundidad
drumsticks_mid, 129, 16, 0.8632
drumsticks_mid, 141, 38, 0.5018
drumsticks_mid, 159, 87, 0.2404
drumsticks_mid, 134, 110, 0.3845
drumsticks_mid, 119, 126, 0.5989
drumsticks_tip, 171, 53, 0.2930
drumsticks_mid, 128, 182, 0.3007
drumsticks_mid, 129, 231, 0.3826
drumsticks_tip, 170, 112, 0.3526
drumsticks_mid, 125, 247, 0.6105
drumsticks_tip, 151, 129, 0.5211
drumsticks_mid, 127, 258, 0.7543
drumsticks_tip, 142, 140, 0.5974
drumsticks_tip, 123, 125, 0.2283
drumsticks_mid, 120, 247, 0.3319
drumsticks_tip, 74, 105, 0.3125
drumsticks_mid, 98, 230, 0.4675
drumsticks_tip, 42, 105, 0.3944
drumsticks_mid, 88, 228, 0.6188
drumsticks_tip, 16, 112, 0.5887
drumsticks_mid, 82, 229, 0.7496
drumsticks_tip, 47, 107, 0.2922
drumsticks_mid, 101, 226, 0.3911
drumsticks_tip, 180, 113, 0.2403
drumsticks_mid, 160, 237, 0.2532
drumsticks_mid, 153, 233, 0.2618
drumsticks_tip, 182, 114, 0.2244
drumsticks_mid, 99, 225, 0.3473
drumsticks_tip, 72, 102, 0.2345
drumsticks_mid, 103, 224, 0.6483
drumsticks_tip, 60, 101, 0.2780
drumsticks_mid, 135, 227, 0.1757
drumsticks_tip, 120, 99, 0.2089
drumsticks_tip, 193, 109, 0.4865
drumsticks_mid, 160, 229, 0.6490
drumsticks_tip, 157, 98, 0.1980
drumsticks_mid, 142, 220, 0.1888
drumsticks_tip, 83, 82, 0.2195
drumsticks_mid, 113, 209, 0.5555
drumsticks_tip, 184, 93, 0.2100
drumsticks_mid, 173, 216, 0.1923
drumsticks_tip, 262, 113, 0.7673
drumsticks_mid, 201, 220, 0.7719
drumsticks_mid, 187, 206, 0.4546
drumsticks_tip, 235, 92, 0.2068
drumsticks_tip, 141, 55, 0.2306
drumsticks_mid, 141, 181, 0.2123
drumsticks_tip, 107, 44, 0.2346
drumsticks_mid, 126, 174, 0.2276
drumsticks_mid, 135, 167, 0.5618
drumsticks_tip, 128, 36, 0.2703
drumsticks_tip, 128, 28, 0.2438
drumsticks_mid, 121, 160, 0.2509
drumsticks_mid, 85, 154, 0.7170
drumsticks_tip, 43, 20, 0.6997
drumsticks_mid, 123, 151, 0.2206
drumsticks_tip, 166, 24, 0.2460
drumsticks_mid, 153, 158, 0.2437
drumsticks_mid, 177, 163, 0.4659
drumsticks_tip, 226, 37, 0.3894
drumsticks_tip, 211, 27, 0.2460
drumsticks_mid, 167, 155, 0.2654
drumsticks_tip, 121, 14, 0.2545
drumsticks_mid, 125, 144, 0.2697
drumsticks_tip, 132, 22, 0.2469
drumsticks_mid, 141, 158, 0.2120
drumsticks_tip, 228, 67, 0.5009
drumsticks_mid, 174, 195, 0.4072
drumsticks_tip, 191, 79, 0.2355
drumsticks_mid, 149, 207, 0.2740
drumsticks_tip, 145, 77, 0.2478
drumsticks_mid, 125, 207, 0.2781
drumsticks_tip, 59, 77, 0.2869
drumsticks_mid, 87, 215, 0.5184
drumsticks_tip, 52, 83, 0.9172
drumsticks_mid, 89, 220, 0.7547
drumsticks_tip, 147, 113, 0.2512
drumsticks_mid, 139, 241, 0.2479
drumsticks_tip, 261, 159, 0.8786
drumsticks_mid, 189, 259, 0.6874
drumsticks_mid, 200, 250, 0.8215
drumsticks_tip, 289, 166, 0.9932
drumsticks_tip, 269, 137, 0.9051
